"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
213,4138988.345977783200,-15.513067245483,0.000000000000,-68.677062988281,0.000000000000,53.163995742798,0.000000000000
214,4190544.830158233640,-15.513689994812,0.000000000000,-68.747520446777,0.000000000000,53.233830451965,0.000000000000
215,4242743.517349243160,-15.511751174927,0.000000000000,-68.678588867188,0.000000000000,53.166837692261,0.000000000000
216,4295592.407165527340,-15.513320922852,0.000000000000,-68.670249938965,0.000000000000,53.156929016113,0.000000000000
217,4349099.598648071290,-15.513222694397,0.000000000000,-68.796310424805,0.000000000000,53.283087730408,0.000000000000
218,4403273.291816711430,-15.514214515686,0.000000000000,-68.702651977539,0.000000000000,53.188437461853,0.000000000000
219,4458121.788795471190,-15.515379905701,0.000000000000,-68.706001281738,0.000000000000,53.190621376038,0.000000000000
220,4513653.495162963870,-15.515152931213,0.000000000000,-68.802871704102,0.000000000000,53.287718772888,0.000000000000
221,4569876.921096801760,-15.513676643372,0.000000000000,-68.669204711914,0.000000000000,53.155528068542,0.000000000000
222,4626800.683013916020,-15.514034271240,0.000000000000,-68.663787841797,0.000000000000,53.149753570557,0.000000000000
223,4684433.504440307620,-15.513876914978,0.000000000000,-68.747550964355,0.000000000000,53.233674049377,0.000000000000
224,4742784.217628479000,-15.515366554260,0.000000000000,-68.646347045898,0.000000000000,53.130980491638,0.000000000000
225,4801861.764862060550,-15.514609336853,0.000000000000,-68.800659179688,0.000000000000,53.286049842834,0.000000000000
226,4861675.199798583980,-15.516067504883,0.000000000000,-68.755813598633,0.000000000000,53.239746093750,0.000000000000
227,4922233.688789367680,-15.515786170959,0.000000000000,-68.701583862305,0.000000000000,53.185797691345,0.000000000000
228,4983546.512626647950,-15.515461921692,0.000000000000,-68.620140075684,0.000000000000,53.104678153992,0.000000000000
229,5045623.067443847660,-15.516749382019,0.000000000000,-68.767089843750,0.000000000000,53.250340461731,0.000000000000
230,5108472.866500854490,-15.514328002930,0.000000000000,-68.921020507813,0.000000000000,53.406692504883,0.000000000000
231,5172105.541572570800,-15.516856193542,0.000000000000,-68.565238952637,0.000000000000,53.048382759094,0.000000000000
232,5236530.844299316410,-15.516180992126,0.000000000000,-68.900711059570,0.000000000000,53.384530067444,0.000000000000
233,5301758.648071289060,-15.518400192261,0.000000000000,-68.687812805176,0.000000000000,53.169412612915,0.000000000000
234,5367798.948989868160,-15.517594337463,0.000000000000,-68.719726562500,0.000000000000,53.202132225037,0.000000000000
235,5434661.867767333980,-15.518079757690,0.000000000000,-68.812057495117,0.000000000000,53.293977737427,0.000000000000
236,5502357.651176452640,-15.517147064209,0.000000000000,-68.639892578125,0.000000000000,53.122745513916,0.000000000000
237,5570896.673637390140,-15.517713546753,0.000000000000,-68.652069091797,0.000000000000,53.134355545044,0.000000000000
238,5640289.438690185550,-15.519165992737,0.000000000000,-68.639228820801,0.000000000000,53.120062828064,0.000000000000
239,5710546.580993652340,-15.519197463989,0.000000000000,-68.589218139648,0.000000000000,53.070020675659,0.000000000000
